semana_fin,pais,casos_semana,factor_crec_7d
2020-01-01,Ecuador,,
2020-01-02,Ecuador,,
2020-01-03,Ecuador,,
2020-01-04,Ecuador,,
2020-01-05,Ecuador,,
2020-01-06,Ecuador,,
2020-01-07,Ecuador,0.0,
2020-01-08,Ecuador,0.0,
2020-01-09,Ecuador,0.0,
2020-01-10,Ecuador,0.0,
2020-01-11,Ecuador,0.0,
2020-01-12,Ecuador,0.0,
2020-01-13,Ecuador,0.0,
2020-01-14,Ecuador,0.0,
2020-01-15,Ecuador,0.0,
2020-01-16,Ecuador,0.0,
2020-01-17,Ecuador,0.0,
2020-01-18,Ecuador,0.0,
2020-01-19,Ecuador,0.0,
2020-01-20,Ecuador,0.0,
2020-01-21,Ecuador,0.0,
2020-01-22,Ecuador,0.0,
2020-01-23,Ecuador,0.0,
2020-01-24,Ecuador,0.0,
2020-01-25,Ecuador,0.0,
2020-01-26,Ecuador,0.0,
2020-01-27,Ecuador,0.0,
2020-01-28,Ecuador,0.0,
2020-01-29,Ecuador,0.0,
2020-01-30,Ecuador,0.0,
2020-01-31,Ecuador,0.0,
2020-02-01,Ecuador,0.0,
2020-02-02,Ecuador,0.0,
2020-02-03,Ecuador,0.0,
2020-02-04,Ecuador,0.0,
2020-02-05,Ecuador,0.0,
2020-02-06,Ecuador,0.0,
2020-02-07,Ecuador,0.0,
2020-02-08,Ecuador,0.0,
2020-02-09,Ecuador,0.0,
2020-02-10,Ecuador,0.0,
2020-02-11,Ecuador,0.0,
2020-02-12,Ecuador,0.0,
2020-02-13,Ecuador,0.0,
2020-02-14,Ecuador,0.0,
2020-02-15,Ecuador,0.0,
2020-02-16,Ecuador,0.0,
2020-02-17,Ecuador,0.0,
2020-02-18,Ecuador,0.0,
2020-02-19,Ecuador,0.0,
2020-02-20,Ecuador,0.0,
2020-02-21,Ecuador,0.0,
2020-02-22,Ecuador,0.0,
2020-02-23,Ecuador,0.0,
2020-02-24,Ecuador,0.0,
2020-02-25,Ecuador,0.0,
2020-02-26,Ecuador,0.0,
2020-02-27,Ecuador,0.0,
2020-02-28,Ecuador,0.0,
2020-02-29,Ecuador,0.0,
2020-03-01,Ecuador,0.0,
2020-03-02,Ecuador,1.0,inf
2020-03-03,Ecuador,6.0,inf
2020-03-04,Ecuador,6.0,inf
2020-03-05,Ecuador,7.0,inf
2020-03-06,Ecuador,10.0,inf
2020-03-07,Ecuador,13.0,inf
2020-03-08,Ecuador,13.0,inf
2020-03-09,Ecuador,14.0,14.0
2020-03-10,Ecuador,9.0,1.5
2020-03-11,Ecuador,9.0,1.5
2020-03-12,Ecuador,8.0,1.1428571428571428
2020-03-13,Ecuador,9.0,0.9
2020-03-14,Ecuador,6.0,0.46153846153846156
2020-03-15,Ecuador,10.0,0.7692307692307693
2020-03-16,Ecuador,13.0,0.9285714285714286
2020-03-17,Ecuador,22.0,2.4444444444444446
2020-03-18,Ecuador,96.0,10.666666666666666
2020-03-19,Ecuador,140.0,17.5
2020-03-20,Ecuador,149.0,16.555555555555557
2020-03-21,Ecuador,180.0,30.0
2020-03-22,Ecuador,483.0,48.3
2020-03-23,Ecuador,504.0,38.76923076923077
2020-03-24,Ecuador,753.0,34.22727272727273
2020-03-25,Ecuador,938.0,9.770833333333334
2020-03-26,Ecuador,1018.0,7.271428571428571
2020-03-27,Ecuador,1043.0,7.0
2020-03-28,Ecuador,1396.0,7.7555555555555555
2020-03-29,Ecuador,1317.0,2.7267080745341614
2020-03-30,Ecuador,1358.0,2.6944444444444446
2020-03-31,Ecuador,1172.0,1.5564409030544488
2020-04-01,Ecuador,1191.0,1.2697228144989339
2020-04-02,Ecuador,1575.0,1.5471512770137525
2020-04-03,Ecuador,1952.0,1.8715244487056568
2020-04-04,Ecuador,1568.0,1.1232091690544412
2020-04-05,Ecuador,1642.0,1.2467729688686409
2020-04-06,Ecuador,1575.0,1.1597938144329898
2020-04-07,Ecuador,1785.0,1.523037542662116
2020-04-08,Ecuador,1755.0,1.473551637279597
2020-04-09,Ecuador,1702.0,1.0806349206349206
2020-04-10,Ecuador,1802.0,0.923155737704918
2020-04-11,Ecuador,3998.0,2.5497448979591835
2020-04-12,Ecuador,3792.0,2.3093788063337395
2020-04-13,Ecuador,4001.0,2.5403174603174605
2020-04-14,Ecuador,3782.0,2.118767507002801
2020-04-15,Ecuador,3608.0,2.055840455840456
2020-04-16,Ecuador,3408.0,2.00235017626322
2020-04-17,Ecuador,3260.0,1.809100998890122
2020-04-18,Ecuador,1289.0,0.3224112056028014
2020-04-19,Ecuador,1765.0,0.4654535864978903
2020-04-20,Ecuador,2002.0,0.5003749062734316
2020-04-21,Ecuador,2599.0,0.687202538339503
2020-04-22,Ecuador,2795.0,0.7746674057649667
2020-04-23,Ecuador,2992.0,0.8779342723004695
2020-04-24,Ecuador,2958.0,0.907361963190184
2020-04-25,Ecuador,14269.0,11.069821567106285
2020-04-26,Ecuador,13697.0,7.760339943342776
2020-04-27,Ecuador,13251.0,6.618881118881119
2020-04-28,Ecuador,13112.0,5.045017314351674
2020-04-29,Ecuador,13860.0,4.958855098389982
2020-04-30,Ecuador,13825.0,4.620655080213904
2020-05-01,Ecuador,13751.0,4.648749154834348
2020-05-02,Ecuador,3617.0,0.2534865792977784
2020-05-03,Ecuador,4745.0,0.34642622472074175
2020-05-04,Ecuador,6819.0,0.5146026714964909
2020-05-05,Ecuador,8641.0,0.6590146430750458
2020-05-06,Ecuador,7623.0,0.55
2020-05-07,Ecuador,7206.0,0.5212296564195298
2020-05-08,Ecuador,7825.0,0.5690495236710057
2020-05-09,Ecuador,6423.0,1.7757810340060824
2020-05-10,Ecuador,5548.0,1.1692307692307693
2020-05-11,Ecuador,3962.0,0.5810236105000733
2020-05-12,Ecuador,1619.0,0.18736257377618332
2020-05-13,Ecuador,2529.0,0.3317591499409681
2020-05-14,Ecuador,2596.0,0.36025534276991394
2020-05-15,Ecuador,1734.0,0.22159744408945686
2020-05-16,Ecuador,1734.0,0.26996730499766464
2020-05-17,Ecuador,2446.0,0.44087959625090123
2020-05-18,Ecuador,3214.0,0.8112064613831398
2020-05-19,Ecuador,3673.0,2.2686843730697963
2020-05-20,Ecuador,3732.0,1.4756820877817318
2020-05-21,Ecuador,4368.0,1.6825885978428352
2020-05-22,Ecuador,4804.0,2.770472895040369
2020-05-23,Ecuador,5326.0,3.071510957324106
2020-05-24,Ecuador,4791.0,1.9587080948487325
2020-05-25,Ecuador,4033.0,1.2548226509023024
2020-05-26,Ecuador,4173.0,1.1361285053090118
2020-05-27,Ecuador,3204.0,0.8585209003215434
2020-05-28,Ecuador,3249.0,0.7438186813186813
2020-05-29,Ecuador,3165.0,0.6588259783513739
2020-05-30,Ecuador,2743.0,0.5150206533984228
2020-05-31,Ecuador,2585.0,0.5395533291588395
2020-06-01,Ecuador,2342.0,0.580709149516489
2020-06-02,Ecuador,2639.0,0.632398753894081
2020-06-03,Ecuador,3059.0,0.9547440699126092
2020-06-04,Ecuador,2863.0,0.8811942136041859
2020-06-05,Ecuador,3104.0,0.9807266982622432
2020-06-06,Ecuador,3535.0,1.2887349617207438
2020-06-07,Ecuador,3885.0,1.5029013539651837
2020-06-08,Ecuador,4022.0,1.71733561058924
2020-06-09,Ecuador,3384.0,1.2823039029935581
2020-06-10,Ecuador,3503.0,1.1451454723765937
2020-06-11,Ecuador,3474.0,1.2134125043660495
2020-06-12,Ecuador,2865.0,0.9230025773195877
2020-06-13,Ecuador,3672.0,1.0387553041018387
2020-06-14,Ecuador,3628.0,0.9338481338481338
2020-06-15,Ecuador,3631.0,0.9027846842366981
2020-06-16,Ecuador,3944.0,1.16548463356974
